Running time,Based on,Clean box office,Clean budget,English,Year,Covid-19,20th Century Fox,Other studio,Paramount Pictures,Sony Pictures Releasing,Streaming,Universal Pictures,Walt Disney Studios,Warner Bros. Pictures,Month,G,PG,PG-13,R,Part_of_franchise,Sci-fi,Biography,Documentary,Mystery & thriller,Drama,Holiday,Western,Horror,Fantasy,Action,Kids & family,Lgbtq+,War,Crime,Comedy,History,Music,Romance,Adventure,Animation,Musical,Lionsgate,Max_prev_box_office_director,Prev_box_office_actors,Avg_ratings_score_director,Median_main_genre_box_office,Weekly_budget_ratio,Previous_movie_box_office
102.0,0,83600000.0,10000000.0,1,2000,0,False,False,False,True,False,False,False,False,8,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,28100000.0,1285580002.8,93.0,12800000.0,0.07575757575757576,0.0
117.0,0,40400000.0,60000000.0,1,2000,0,False,True,False,False,False,False,False,False,8,False,False,False,True,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,5711695.0,1486074645.8,53.0,22415440.0,0.45454545454545453,0.0
87.0,0,13100000.0,38000000.0,1,2000,0,False,False,False,False,False,False,True,False,8,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,0.0,894594440.0,64.53950143811011,12968742.0,0.2878787878787879,0.0
105.0,0,10200000.0,13000000.0,1,2000,0,False,True,False,False,False,False,False,False,8,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,13800000.0,3590823.2,71.33333333333333,13100000.0,0.09848484848484848,0.0
87.0,1,15800000.0,25000000.0,1,2000,0,False,True,False,False,False,False,False,False,9,False,False,False,True,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,False,0.0,137900000.0,64.53950143811011,16500000.0,0.19305019305019305,0.0
86.0,1,49666.0,10000000.0,1,2000,0,False,True,False,False,False,False,False,False,9,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,11391093.0,50224931.2,41.25,6200000.0,0.07722007722007722,0.0
124.0,1,18000000.0,13500000.0,1,2000,0,False,True,False,False,False,False,False,False,9,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,107200000.0,2802894118.4,54.0,6100000.0,0.10424710424710425,0.0
100.0,0,1800000.0,20000000.0,1,2000,0,False,False,False,False,False,True,False,False,9,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,13000000.0,48400781.2,82.0,6150000.0,0.15444015444015444,0.0
135.0,0,871058.0,13000000.0,0,2000,0,False,True,False,False,False,False,False,False,9,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,22900000.0,0.0,90.0,6100000.0,0.10038610038610038,0.0
113.0,1,40100000.0,7000000.0,1,2000,0,False,True,False,False,False,False,False,False,9,False,False,False,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,718169730.5999999,64.53950143811011,22507720.0,0.038356164383561646,0.0
